lead_id,date_found,business_name,industry,location,tier,website_url,source_url,public_email,public_phone_or_whatsapp,contact_page_url,social_profile_url,website_quality_score,business_value_score,conversion_opportunity_score,fit_score,total_score,priority_label,top_3_website_issues,recommended_web_growth_service,short_personalization_note,suggested_outreach_angle,status
WG-20260710-001,2026-07-10,Schubbs Dental Clinic,Dental clinic,Lagos,Tier 1,https://www.schubbsdental.com/,https://www.schubbsdental.com/,not confirmed,not confirmed,https://www.schubbsdental.com/,not confirmed,18,23,17,14,72,Warm lead,"Conversion path review needed; newsletter form visible before audit; speed/mobile not validated",Dental website conversion and SEO audit,"Established dental clinic with broad services and appointment intent.","Improve appointment conversion and local SEO visibility.",Research-ready
WG-20260710-002,2026-07-10,Mouth Spa Dental Clinic,Dental clinic,Victoria Island Lagos,Tier 1,https://mouthspa.com.ng/,https://mouthspa.com.ng/,not confirmed,"080 945 60813; 0907 142 2040",https://mouthspa.com.ng/,not confirmed,19,22,18,14,73,Warm lead,"Phone-first contact path; booking funnel should be reviewed; Core Web Vitals not validated",Dental website speed and booking audit,"Public page lists Victoria Island address and phone contacts.","Tighten online booking and trust signals for patient inquiries.",Research-ready
WG-20260710-003,2026-07-10,AllSmiles Dental Clinic,Dental clinic,Lagos,Tier 1,https://allsmiles.ng/,https://allsmiles.ng/,not confirmed,not confirmed,https://allsmiles.ng/,not confirmed,18,22,17,14,71,Warm lead,"Service navigation can be reviewed; package/appointment CTA flow needs audit; technical SEO not validated",Dental service page and conversion audit,"Public site promotes dental services and appointment packages.","Improve package-to-appointment conversion and local dental SEO.",Research-ready
WG-20260710-004,2026-07-10,Mid Dental Clinic,Dental clinic,Lagos,Tier 1,https://middentalclinic.com.ng/,https://middentalclinic.com.ng/,not confirmed,07051123455,https://middentalclinic.com.ng/,not confirmed,20,21,17,14,72,Warm lead,"Contact content appears snippet-heavy; email path needs verification; performance not validated",Dental website trust and appointment audit,"Public snippet lists booking by phone and email.","Make the appointment path clearer and easier to track.",Research-ready
WG-20260710-005,2026-07-10,Hilton Dental Clinic,Dental clinic,"Amuwo, Festac, Lekki, Lagos",Tier 1,https://hiltondental.com.ng/,https://hiltondental.com.ng/,not confirmed,+2347010075124,https://hiltondental.com.ng/,not confirmed,18,22,17,14,71,Warm lead,"Multi-location SEO opportunity; emergency/walk-in CTA should be reviewed; speed not validated",Local SEO and multi-location dental audit,"Public page references multiple Lagos locations and emergency/walk-in availability.","Strengthen multi-location search visibility and booking flow.",Research-ready
WG-20260710-006,2026-07-10,SmileBest Dental,Dental clinic,Lagos,Tier 1,https://smilebestdental.com.ng/,https://smilebestdental.com.ng/,support@smilebestdental.com.ng,+2347038057170,https://smilebestdental.com.ng/,not confirmed,20,21,17,14,72,Warm lead,"Contact is visible; patient conversion funnel needs review; metadata/schema not validated",Dental SEO and contact funnel audit,"Public page lists support email and phone contact.","Improve trust, structured data, and lead tracking for dental inquiries.",Research-ready
WG-20260710-007,2026-07-10,Nene Dental Centre,Dental clinic,Ikeja Lagos,Tier 1,https://www.nenedental.ng/contact-us/,https://www.nenedental.ng/contact-us/,info@nenedental.ng,"08171225696; 08139264798; 08033004421",https://www.nenedental.ng/contact-us/,not confirmed,19,22,18,14,73,Warm lead,"Contact page is available; inquiry flow needs form UX review; local SEO/schema not validated",Dental contact page and local SEO audit,"Public contact page lists Ikeja address, phones, and email.","Improve patient inquiry conversion from the contact page.",Research-ready
WG-20260710-008,2026-07-10,Smiley Dental Clinic,Dental clinic,Surulere Lagos,Tier 1,https://smileydentalclinic.com.ng/,https://smileydentalclinic.com.ng/,"info@smileydentalclinic.com.ng; smileydental33@yahoo.com; smileydental33@gmail.com","07032723808; 08058686555; 08033152568",https://smileydentalclinic.com.ng/,not confirmed,22,21,18,14,75,Warm lead,"Multiple legacy email addresses; contact hierarchy may confuse users; local SEO not validated",Dental website contact cleanup and SEO audit,"Public page lists multiple phone and email contact options.","Simplify contact choices and improve appointment conversion.",Research-ready
WG-20260710-009,2026-07-10,De-Favours Dental Clinic,Dental clinic,Ojota Lagos,Tier 1,https://defavoursdental.com.ng/,https://defavoursdental.com.ng/,defavoursdental@gmail.com,"08023316067; 07034523209",https://defavoursdental.com.ng/,not confirmed,21,21,18,14,74,Warm lead,"Gmail address used for business inquiries; booking path needs review; site technical quality not validated",Dental brand trust and booking audit,"Public page lists Ogudu/Ojota address, phone, and Gmail contact.","Improve professional trust signals and appointment flow.",Research-ready
WG-20260710-010,2026-07-10,Smilesdotcom,Dental clinic,Lekki Lagos,Tier 1,https://www.smilesdotcom.ng/,https://www.smilesdotcom.ng/,not confirmed,not confirmed,https://www.smilesdotcom.ng/,not confirmed,17,22,17,14,70,Warm lead,"Consultation CTA exists; contact details need deeper review; schema/speed not validated",Dental landing page and SEO audit,"Public homepage positions the clinic as a reliable dental clinic in Lekki.","Strengthen consultation CTA and local dental SEO.",Research-ready
